Species;PopSize_direct_best;PopSize_direct_lower95;PopSize_direct_upper95;DetProb_direct;DetProb_traits_lm;PopSize_traits_lm;PopError_traits_lm;DetProb_traits_brt;PopSize_traits_brt;PopError_traits_brt
Acanthis flammea/A. cabaret;101188.9091;73681.0898;133356.1732;0.428036376;0.494131145;87653.92419;0.13375957;0.466343325;92876.92475;0.082143235
Accipiter nisus;17919.96774;15496.55778;30349.10903;0.520781151;0.700536006;13321.77269;0.256596168;0.728894923;12803.46609;0.285519579
Acrocephalus palustris;196039.4249;142064.285;254300.394;0.429978623;0.498389425;169130.318;0.137263752;0.527587314;159770.2593;0.185009549
Acrocephalus schoenobaenus;18721.86993;8159.979259;19963.32416;0.549242034;0.512804424;20052.16305;-0.071055569;0.49399055;20815.85958;-0.111847249
Acrocephalus scirpaceus;68203.86324;38165.10437;124175.1197;0.507951174;0.528101284;65601.49245;0.038155768;0.510709075;67835.55273;0.005400141
Aegithalos caudatus;80164.38538;68767.39528;128253.2189;0.2819358;0.437761378;51629.06389;0.355960086;0.411521866;54921.04303;0.314894728
Alauda arvensis;560137.0831;307802.9612;675361.835;0.747580222;0.537050675;779716.7468;-0.392010582;0.552099535;758463.6078;-0.354067836
Anser anser;49290.50359;25415.40646;75616.50658;0.999999987;0.862314843;57160.68019;-0.159669227;0.691442091;71286.52364;-0.446252695
Anthus pratensis;474409.0868;279208.8905;700043.4871;0.538835233;0.504215053;506982.7436;-0.068661536;0.59127152;432336.6204;0.088683939
Anthus trivialis;231448.0025;126638.2655;314878.6932;0.67295608;0.602531273;258500.0107;-0.11688158;0.562044954;277120.7878;-0.197334973
Buteo buteo;47303.74053;36416.25278;53626.06601;0.845524174;0.821074382;48712.34204;-0.029777804;0.732332419;54615.16533;-0.154563354
Carduelis carduelis;196591.0173;144608.3573;209125.3439;0.311887701;0.37304315;164362.5419;0.163936664;0.399790295;153366.2053;0.219871755
Certhia familiaris;33050.64415;34334.08862;101274.9951;0.343516918;0.450946261;25176.95874;0.238230921;0.404791262;28047.6791;0.151372694
Chloris chloris;407714.6368;391122.662;541772.4825;0.468177652;0.433070731;440766.0628;-0.081065096;0.404162569;472292.3292;-0.158389439
Coccothraustes coccothraustes;37432.60393;24769.69358;45037.19129;0.360120641;0.433992573;31061.02303;0.170214739;0.579371876;23267.0136;0.378429199
Coloeus monedula;158473.597;120336.8109;282125.7408;0.598135612;0.603212723;157139.759;0.008416784;0.686927761;137989.3304;0.129259807
Columba livia;1807.689006;1196.037494;5874.018473;0.590270095;0.592877414;1799.739267;0.004397736;0.751040765;1420.728158;0.214063839
Columba oenas;5320.370372;5145.927152;9402.741812;0.929294602;0.642601572;7694.023302;-0.446144303;0.654897321;7549.567403;-0.418992829
Columba palumbus;749107.787;606645.0308;1009375.564;0.683538148;0.716218423;714926.806;0.045628922;0.719356745;711807.8112;0.049792535
Corvus corax;40833.45671;30987.11495;61027.85866;0.94006704;0.825971081;46474.00816;-0.138135537;0.695678341;55178.06799;-0.351295541
Corvus cornix;326869.3907;294075.2065;452695.4669;0.719857375;0.77307954;304366.2769;0.068844359;0.704741998;333880.1178;-0.021448099
Corvus corone;8021.805003;6653.422517;17136.17953;0.782367475;0.760735164;8249.913538;-0.028436061;0.694416174;9037.806957;-0.12665503
Corvus frugilegus;22829.99554;9266.104382;44207.12799;0.704699506;0.74347801;21639.22316;0.05215824;0.72146997;22299.31562;0.023244854
Curruca communis;704024.444;567035.8904;1318835.936;0.512405579;0.457684647;788197.8451;-0.119560339;0.497565405;725022.3766;-0.029825573
Curruca curruca;142465.3822;138435.1821;215796.6207;0.456247595;0.446730017;145500.6054;-0.021304988;0.502132024;129447.0078;0.091379212
Cyanistes caeruleus;944272.0807;619100.3974;1157725.382;0.310719016;0.416782552;703972.1083;0.254481708;0.398402941;736448.6086;0.220088549
Dendrocopos major;130622.8662;118676.9547;177340.5236;0.559743345;0.529030786;138206.0968;-0.058054389;0.581409121;125755.3028;0.037264252
Emberiza calandra;193832.7701;93271.82467;291328.7882;0.592252478;0.468721583;244917.1163;-0.263548553;0.589051245;194886.1655;-0.005434557
Emberiza citrinella;699723.1352;534792.8191;856271.1846;0.56390013;0.604443425;652788.914;0.067075417;0.55861636;706341.5886;-0.009458674
Emberiza schoeniclus;93043.06352;35023.44883;113200.0833;0.520237475;0.554840205;87240.41263;0.062365218;0.564200497;85793.06243;0.07792092
Erithacus rubecula;389425.4191;300885.3274;442204.8517;0.503797416;0.548019218;358001.1673;0.08069389;0.539943434;363355.6912;0.066944084
Fringilla coelebs;659483.5866;470104.9916;778262.0543;0.586123827;0.510999759;756436.8416;-0.147013901;0.465927242;829612.4566;-0.257972865
Gallinula chloropus;20604.78795;15904.30667;30660.17618;0.567654465;0.855809391;13667.06184;0.336704563;0.661165369;17690.58153;0.141433458
Garrulus glandarius;78191.07437;67379.29381;96579.08401;0.60343877;0.689752786;68406.43007;0.125137612;0.676771559;69718.54111;0.108356783
Hippolais icterina;76646.11586;42482.08322;123300.231;0.473592352;0.440726864;82361.70127;-0.074571103;0.502671891;72212.14272;0.057849939
Lanius collurio;20608.09855;13773.92847;27087.56268;0.458826265;0.586654387;16117.72978;0.217893406;0.556255232;16998.5581;0.175151552
Linaria cannabina;382292.374;263772.3471;624055.4919;0.390577256;0.524797897;284518.492;0.25575682;0.411132826;363178.751;0.049997395
Lophophanes cristatus;73517.83597;49154.77323;81797.56164;0.312276271;0.41600809;55186.12795;0.249350485;0.430376307;53343.72579;0.274411099
Loxia curvirostra;2562.630027;2635.017261;9221.508581;0.522185873;0.38475084;3478.015016;-0.357205285;0.423164181;3162.293171;-0.234003012
Luscinia luscinia;16978.02754;16427.61201;63304.06145;0.841153283;0.611369774;23359.22415;-0.375850292;0.542916716;26304.44628;-0.549322865
Motacilla alba;283775.8255;275617.0854;392044.7692;0.391482931;0.585189782;189841.6467;0.331015437;0.621466244;178760.1385;0.370065656
Motacilla flava;14469.86714;11708.11432;34651.89095;0.503244216;0.565678695;12872.81457;0.110370921;0.594459452;12249.57719;0.153442318
Muscicapa striata;33851.68619;24399.50101;43804.87075;0.302190249;0.571651547;17894.90385;0.471373339;0.471774737;21683.33457;0.359460724
Oenanthe oenanthe;9873.612484;7232.607152;34314.95375;0.665060576;0.566756243;11586.19862;-0.173450815;0.577528465;11370.08962;-0.151563284
Parus major;912150.29;618203.0665;1074722.238;0.437109084;0.420893032;947293.3684;-0.038527728;0.428189562;931151.0913;-0.020830779
Passer domesticus;316711.5289;184222.9477;441723.3336;0.356804397;0.357189563;316370.0112;0.001078324;0.502740025;224776.3464;0.290280505
Passer montanus;325218.8997;180281.4157;719842.9408;0.361945061;0.501590845;234676.0823;0.278405768;0.395590877;297558.3647;0.085052053
Perdix perdix;80001.50956;48341.08776;90907.28353;0.335271673;0.731163586;36684.32132;0.541454636;0.716420664;37439.23266;0.532018422
Periparus ater;133255.6099;99734.69337;156051.0735;0.531728652;0.545942187;129786.3169;0.026034873;0.41963228;168852.181;-0.26713
Phoenicurus ochruros;2989.372706;1887.179633;4127.0307;0.659477115;0.379471248;5195.183823;-0.737884276;0.508580729;3876.322435;-0.296700952
Phoenicurus phoenicurus;126727.4789;100552.1209;141904.6271;0.535308389;0.47981427;141384.4625;-0.115657502;0.496404787;136659.203;-0.078370723
Phylloscopus collybita;740217.1608;690603.6057;1069807.23;0.599092305;0.441359689;1004755.115;-0.357378846;0.505143786;877885.4991;-0.185983716
Phylloscopus sibilatrix;10612.97809;9064.54681;14463.77094;0.511649976;0.410185027;13238.24525;-0.247363854;0.482376196;11257.04384;-0.060686618
Phylloscopus trochilus;298997.5614;140508.7148;408160.6217;0.615166084;0.398431366;461643.2713;-0.543970021;0.499996943;367868.5671;-0.23033969
Pica pica;186539.4902;148777.0377;225713.2745;0.577862734;0.633243746;170225.4787;0.087456074;0.699558745;154088.8747;0.173961103
Poecile palustris;128513.1673;67394.72123;149479.5956;0.249807296;0.404473306;79371.18807;0.382388671;0.411450664;78025.21575;0.39286209
Prunella modularis;166074.2013;107188.9012;343012.0811;0.548411015;0.607466278;149929.1806;0.097215706;0.53280683;170937.9762;-0.029286758
Pyrrhula pyrrhula;140268.9191;101282.7417;162385.553;0.373273967;0.36469711;143567.729;-0.023517753;0.478310139;109466.0797;0.219598465
Regulus regulus;204058.1854;162203.2456;243150.6364;0.284465542;0.387316566;149871.0029;0.265547704;0.42598647;136266.1172;0.332219303
Saxicola rubetra;26940.8728;20975.53044;36454.65134;0.598364804;0.652338471;24711.81874;0.082738747;0.56837815;28362.22689;-0.052758279
Sitta europaea;153191.6307;71469.48824;178890.5876;0.567446733;0.525900214;165293.8867;-0.079000765;0.473326057;183653.7184;-0.198849556
Spinus spinus;42376.72701;40499.26145;63527.82496;0.357547905;0.317702422;47691.51546;-0.125417625;0.42035247;36045.25028;0.149409291
Streptopelia decaocto;37218.11799;29211.7183;53490.3514;0.575686463;0.52300871;40966.74924;-0.100720602;0.626502676;34199.32191;0.081110928
Sturnus vulgaris;604381.7014;454080.7916;786267.6433;0.530225374;0.573439194;558836.0846;0.075359027;0.67857058;472255.2427;0.21861426
Sylvia atricapilla;832967.2833;607558.0651;1248000.8;0.576402945;0.413329868;1161601.986;-0.394534946;0.491248881;977355.4994;-0.173342002
Sylvia borin;330414.835;267299.995;370114.8878;0.467632818;0.427298215;361604.1791;-0.094394503;0.515929196;299484.5447;0.093610477
Troglodytes troglodytes;334720.6848;233942.6563;376956.9917;0.604286938;0.495332374;408346.6951;-0.219962535;0.454791708;444747.1974;-0.328711423
Turdus merula;1209576.937;1034887.241;1340001.362;0.596873241;0.655615556;1101200.391;0.089598721;0.692637496;1042340.489;0.138260281
Turdus philomelos;336491.4775;284583.6302;462791.2492;0.752247183;0.680063249;372207.6823;-0.10614297;0.633182895;399765.6409;-0.188040909
Turdus pilaris;267767.6183;169658.54;389328.0305;0.699832532;0.689748479;271682.3539;-0.014619899;0.643629744;291149.5187;-0.087321613
Turdus viscivorus;19578.4911;16230.46304;24445.15575;0.793384249;0.653093394;23784.14266;-0.21480979;0.625988101;24813.99637;-0.267411071
Vanellus vanellus;74566.29507;56662.49795;107531.4867;0.999999984;0.82351729;90546.11818;-0.214303568;0.709299189;105126.7153;-0.409842278
